triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 3, 13)",0.9370701570121249,0.0019449052381938458,0.10978912748871983,0.4819035351503275,0.015345281176343881
"(0, 3, 14)",0.8789572539774285,0.007918899945855167,0.09644627787676285,0.4571862307591733,0.07101497934234363
"(0, 3, 15)",0.5932313202004812,0.013610271488294275,0.042203543913614534,0.49100446915967816,0.26794105503237314
"(0, 3, 16)",0.6762001631622444,0.00980150605546848,0.05880692746215052,0.33256875111879075,0.14851245893616266
"(0, 3, 17)",0.5305387943932689,0.006208579705271375,0.03895586182192757,0.21811895973369458,0.1528194341634956
"(0, 3, 18)",0.48600651119318466,0.0003481875864519318,0.030712273336776407,0.3262607687738535,0.010212915224866247
"(0, 3, 19)",0.530523910581243,0.009332203803012083,0.03348124329374864,0.5679997889714826,0.22971793777966573
"(0, 4, 5)",0.30603675983070766,0.00167732154572129,0.012499675760540884,0.2678937126957569,0.12407656276589764
"(0, 4, 6)",0.47126527542852414,0.00406969635637076,0.03158452842190262,0.17925573524525756,0.12695556570470404
"(0, 4, 7)",0.1988123900541447,0.0013410727277692997,0.004804573506616886,0.4461297174125561,0.23506396468025534
"(0, 4, 8)",0.5375246290804696,0.00469025947931727,0.0418477273223843,0.15588668256873336,0.11246587130391389
"(0, 4, 9)",0.486399314857313,0.004324388776481548,0.03378679129993287,0.17477423448342858,0.12663665811352368
"(0, 4, 10)",0.23904317946474726,2.5205115613144424e-05,0.007409483779142308,0.33262183825022895,0.003056022864801371
"(0, 4, 11)",0.2878897933835354,0.000652112322508935,0.011033142462055296,0.27758260845945903,0.05451179581557085
"(0, 4, 12)",0.5390089501017565,0.00464169676480888,0.042100680996720895,0.15499382834288816,0.11068924641585749
"(0, 4, 13)",0.4953752752974375,0.004485953953835407,0.03512805325913601,0.1729207169108026,0.12665046152729292
"(0, 4, 14)",0.45814269722958656,0.0036184557785603633,0.029763669559445562,0.18165568270565938,0.11943795297400227
"(0, 4, 15)",0.5204641861721808,0.004197181408879093,0.03909910017857109,0.15918558394105775,0.10734866755545515
"(0, 4, 16)",0.28989889939347546,0.0012822297770969532,0.01114701089496807,0.27992182531573034,0.1057044677641373
"(0, 4, 17)",0.10831680909933177,0.0001871269854609248,0.0015437565051170045,0.2937367573079733,0.11050077518606552
"(0, 4, 18)",0.3678899702918058,0.003236865122658268,0.01847231027548101,0.24187246247573632,0.16569497046714554
"(0, 4, 19)",0.3195214650640516,0.002404522773977513,0.013634067289333935,0.2658212113417896,0.163173427370361
"(0, 5, 6)",0.5459708694115261,0.01202348590502533,0.03521517302134015,0.5315396609542047,0.27945512245258236
"(0, 5, 7)",0.25389029288732445,0.0019979977739313557,0.007717671407846129,0.5603818732548783,0.21474518036262968
"(0, 5, 8)",0.6819695090584792,0.012116498601167529,0.05869386974769022,0.3668494714773271,0.18049610716564504
"(0, 5, 9)",0.6819286633884061,0.006151912131353838,0.05964102932593503,0.35023915555233265,0.09165430140253641
