triad,perimeter,area,polar_moment,side_ratio,normal_coefficient
"(0, 7, 12)",0.6386060756858074,0.003306603280087855,0.056191971998047846,0.22198537502197682,0.05617416411381749
"(0, 7, 13)",0.7707944395283182,0.006197776723942656,0.07602823979890486,0.35958040593915386,0.07227355199282047
"(0, 7, 14)",0.5125541155237876,0.004625122915895414,0.03257242567074164,0.45602336206194977,0.12197320836252905
"(0, 7, 15)",0.5077526068655819,0.0028674723599101397,0.03526223079537415,0.2321553546942484,0.0770576100910648
"(0, 7, 16)",0.5021843701936013,0.0008749555093103209,0.03243021075344096,0.3524265565977273,0.024036996779034966
"(0, 7, 17)",0.5018450790018076,0.0003575331058883139,0.034039599318841374,0.25306666647440135,0.009835524862045343
"(0, 7, 18)",0.5028451160139464,0.0008330211588904561,0.038661945295433535,0.09079731744185719,0.02282486296280881
"(0, 7, 19)",0.546903174370931,0.007588917578062208,0.03985486925770136,0.2709805020490579,0.17578409056494645
"(0, 8, 9)",0.4932712061897554,0.0016010448905985151,0.03120068466295061,0.3580425592317968,0.04558821602492983
"(0, 8, 10)",0.266596965596022,0.0006910690997436364,0.009136435394545672,0.34874059219301734,0.06736459284625457
"(0, 8, 11)",0.20957734229623493,0.0012664513408802295,0.005728133826354446,0.3101389898584153,0.19976549213199424
"(0, 8, 12)",0.6356169686398485,0.0018165575309091438,0.053819078448173505,0.277464267078423,0.03115148897325402
"(0, 8, 13)",0.7652198296167105,0.001413006629751773,0.08029284505545886,0.2302179409456065,0.016718310502209
"(0, 8, 14)",0.26227567738652713,0.0025967416361933732,0.008139772808966286,0.5229700524535703,0.2615371130038941
"(0, 8, 15)",0.1790171743436289,0.00048349212432097395,0.004071504144154823,0.37185257456402254,0.10452510854703491
"(0, 8, 16)",0.3317987261784423,0.0018186224842842162,0.013607858995120911,0.4964975287512359,0.11444945951309073
"(0, 8, 17)",0.179118093997922,0.000469229748903721,0.0041809131407017554,0.31340794098252617,0.1013274792027471
"(0, 8, 18)",0.4624976503139328,0.0024233877916231775,0.027127156175473864,0.3841297217717999,0.07849183333600684
"(0, 8, 19)",0.47156841477663236,0.004654198509010586,0.02797676613143809,0.38606055343692014,0.14500270496465945
"(0, 9, 10)",0.4918952675154071,0.00048175745114966144,0.03029868864087451,0.4620881135424781,0.013794430346185414
