HIP	RA	Dec	Vmag
12623	02 42 14.93	+40 11 39.8	4.91
12706	02 43 18.12	+03 14 10.2	3.47
12719	02 43 27.11	+27 42 25.8	4.65
12770	02 44 07.35	-13 51 31.2	4.24
12777	02 44 11.69	+49 13 43.2	4.1
12828	02 44 56.37	+10 06 51.2	4.27
12843	02 45 05.98	-18 34 21.5	4.47
12876	02 45 32.53	-67 37 00.2	4.83
13061	02 47 54.44	+29 14 50.7	4.52
13147	02 49 05.36	-32 24 22.6	4.45
13209	02 49 58.99	+27 15 38.8	3.61
13244	02 50 28.54	-75 04 00.8	4.76
13254	02 50 34.91	+38 19 08.1	4.22
13268	02 50 41.79	+55 53 43.9	3.77
13288	02 51 02.35	-21 00 14.3	4.76
13328	02 51 30.83	+35 03 35.6	4.56
13531	02 54 15.46	+52 45 45.0	3.93
13701	02 56 25.60	-08 53 51.4	3.89
13847	02 58 15.72	-40 18 17.0	2.88
13879	02 58 45.65	+39 39 46.2	4.68
13884	02 58 47.77	-64 04 16.7	4.98
13905	02 59 03.71	+35 10 59.2	4.94
13914	02 59 12.73	+21 20 25.6	4.63
13954	02 59 42.90	+08 54 26.6	4.71
14135	03 02 16.78	+04 05 23.7	2.54
14146	03 02 23.59	-23 37 27.6	4.08
14328	03 04 47.79	+53 30 23.2	2.91
14354	03 05 10.50	+38 50 25.9	3.32
14382	03 05 32.43	+56 42 20.0	4.77
14576	03 08 10.13	+40 57 20.3	2.09
14632	03 09 02.88	+49 36 48.6	4.05
14668	03 09 29.63	+44 51 28.4	3.79
14817	03 11 17.40	+39 36 41.7	4.61
14838	03 11 37.67	+19 43 36.1	4.35
14862	03 11 56.24	+74 23 37.9	4.85
14879	03 12 04.28	-28 59 20.8	3.8
15110	03 14 54.11	+21 02 40.7	4.87
15197	03 15 50.03	-08 49 11.4	4.8
15382	03 18 22.10	-22 30 40.1	4.86
15416	03 18 43.82	+34 13 21.6	4.85
15457	03 19 21.54	+03 22 11.9	4.84
15474	03 19 30.97	-21 45 28.6	3.7
15510	03 19 53.22	-43 04 17.6	4.26
15520	03 19 59.26	+65 39 08.4	4.74
15549	03 20 20.37	+29 02 54.6	4.47
15648	03 21 26.61	+43 19 46.7	4.96
15863	03 24 19.35	+49 51 40.5	1.79
15900	03 24 48.84	+09 01 44.6	3.61
16083	03 27 10.12	+09 43 58.0	3.73
16147	03 28 03.05	+49 03 46.6	4.99
16228	03 29 04.13	+59 56 25.2	4.21
16244	03 29 22.03	+49 30 32.5	4.67
16245	03 29 22.19	-62 56 18.4	4.71
16281	03 29 54.75	+58 52 43.5	4.55
16335	03 30 34.48	+47 59 42.6	4.36
16341	03 30 37.05	-05 04 30.6	4.74
16369	03 30 52.37	+12 56 12.1	4.14
16537	03 32 56.42	-09 27 29.9	3.72
16611	03 33 47.25	-21 37 58.1	4.26
16826	03 36 29.36	+48 11 33.7	4.32
16852	03 36 52.52	+00 24 10.2	4.29
16870	03 37 05.68	-40 16 28.2	4.57
17304	03 42 14.90	-31 56 18.2	4.99
17313	03 42 22.64	+33 57 54.1	4.97
17351	03 42 50.12	-37 18 48.0	4.59
17358	03 42 55.48	+47 47 15.6	3.01
17378	03 43 14.96	-09 45 54.7	3.52
17440	03 44 11.55	-64 48 25.5	3.84
17448	03 44 19.13	+32 17 17.8	3.84
17499	03 44 52.52	+24 06 48.4	3.72
17529	03 45 11.64	+42 34 42.8	3.77
17531	03 45 12.48	+24 28 02.6	4.3
17573	03 45 49.59	+24 22 04.3	3.87
17587	03 46 02.33	+63 20 42.2	4.78
17593	03 46 08.50	-12 06 06.2	4.43
17608	03 46 19.56	+23 56 54.5	4.14
17651	03 46 50.99	-23 14 54.4	4.22
17678	03 47 14.23	-74 14 21.3	3.26
17702	03 47 29.06	+24 06 18.9	2.85
17797	03 48 35.82	-37 37 12.5	4.3
17847	03 49 09.73	+24 03 12.7	3.62
