|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |vmag_source|
|HIP 26634 |05 39 38.9399|-34 04 26.578|   -0.10|  -24.05|   12.16|B7IV        | 2.65|G          |
|HIP 88635 |18 05 48.5246|-30 25 25.140|  -55.75| -181.53|   33.94|K0III       | 2.98|G          |
|HIP 93506 |19 02 36.7234|-29 52 48.411|  -14.10|    3.66|   36.61|A3IV        | 2.60|G          |
|HIP 89931 |18 20 59.6216|-29 49 40.941|   29.96|  -26.38|   10.67|K3III       | 2.72|H          |
|HIP 113368|22 57 38.8256|-29 37 18.613|  329.22| -164.22|  130.08|A3V         | 1.17|G          |
|HIP 35904 |07 24 05.7050|-29 18 11.231|   -3.76|    6.66|    1.02|B5Ia        | 2.45|G          |
|HIP 33579 |06 58 37.5467|-28 58 19.522|    2.63|    2.29|    7.57|B2II        | 1.50|G          |
|HIP 81266 |16 35 52.9594|-28 12 57.462|   -8.59|  -22.50|    7.59|B0V         | 2.82|G          |
|HIP 80763 |16 29 24.4675|-26 25 55.006|  -10.16|  -23.21|    5.40|M1Ib + B2.5V| 1.06|H          |
|HIP 34444 |07 08 23.4860|-26 23 35.548|   -2.75|    3.33|    1.82|F8Ia        | 1.83|G          |
|HIP 92855 |18 55 15.9167|-26 17 47.739|   13.87|  -52.65|   14.54|B2.5V       | 2.05|H          |
|HIP 78265 |15 58 51.1207|-26 06 50.554|  -12.00|  -25.71|    7.10|B1V + B2V   | 2.89|H          |
|HIP 80112 |16 21 11.3225|-25 35 33.909|  -10.03|  -18.03|    4.44|B1III       | 2.90|G          |
|HIP 90496 |18 27 58.2695|-25 25 16.490|  -44.81| -186.29|   42.20|K1IIIb      | 2.82|G          |
|HIP 39757 |08 07 32.7022|-24 18 15.972|  -83.29|   46.38|   51.99|F2mF5IIp    | 2.83|H          |
|HIP 61359 |12 34 23.2341|-23 23 47.843|    0.86|  -56.00|   23.34|G5II        | 2.65|G          |
|HIP 64962 |13 18 55.2534|-23 10 17.085|   68.41|  -41.09|   24.69|G8III       | 2.99|G          |
|HIP 78401 |16 00 20.0117|-22 37 17.833|   -8.67|  -36.90|    8.12|B0.2IV      | 2.29|H          |
|HIP 94141 |19 09 45.8338|-21 01 24.691|   -1.17|  -36.83|    7.41|F2II/III    | 2.88|H          |
|HIP 25606 |05 28 14.7263|-20 45 33.236|   -5.03|  -85.92|   20.49|G5II        | 2.81|H          |
|HIP 78820 |16 05 26.2349|-19 48 19.414|   -6.75|  -24.89|    6.15|B0.5V       | 2.56|G          |
|HIP 3419  |00 43 35.2283|-17 59 12.063|  232.79|   32.71|   34.04|K0III       | 2.04|G          |
|HIP 30324 |06 22 41.9874|-17 57 21.300|   -3.45|   -0.47|    6.53|B1II/III    | 1.98|G          |
|HIP 25985 |05 32 43.8139|-17 49 20.252|    3.27|    1.54|    2.54|F0Ib        | 2.58|G          |
|HIP 59803 |12 15 48.4678|-17 32 31.141| -159.58|   22.31|   19.78|B8III       | 2.58|G          |
|HIP 32349 |06 45 09.2499|-16 42 47.315| -546.01|-1223.08|  379.21|A0m...      |-1.44|G          |
|HIP 60965 |12 29 51.9832|-16 30 54.338| -209.97| -139.30|   37.11|B9.5V       | 2.94|G          |
|HIP 107556|21 47 02.2853|-16 07 35.637|  263.26| -296.23|   84.58|A5mF2 (IV)  | 2.85|G          |
|HIP 72622 |14 50 52.7773|-16 02 29.798| -105.69|  -69.00|   42.25|A3IV        | 2.75|G          |
|HIP 84012 |17 10 22.6624|-15 43 30.531|   41.16|   97.65|   38.77|A2.5Va      | 2.43|G          |
|HIP 18543 |03 58 01.7301|-13 30 29.681|   60.51| -111.34|   14.75|M1IIIb Ca-1 | 2.97|H          |
