|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 677   |00 08 23.1680|+29 05 26.981|  135.68| -162.95|   33.60|B9p         | 2.07|
|HIP 5447  |01 09 43.7976|+35 37 14.990|  175.59| -112.23|   16.36|M0IIIvar    | 2.07|
|HIP 72607 |14 50 42.3954|+74 09 19.713|  -32.29|   11.91|   25.79|K4IIIvar    | 2.07|
|HIP 86032 |17 34 56.0048|+12 33 38.073|  110.08| -222.61|   69.84|A5III       | 2.08|
|HIP 14576 |03 08 10.1297|+40 57 20.344|    2.39|   -1.44|   35.14|B8V         | 2.09|
|HIP 9640  |02 03 53.9191|+42 19 47.454|   43.08|  -50.85|    9.19|B8V         | 2.10|
|HIP 57632 |11 49 03.8783|+14 34 20.413| -499.02| -113.78|   90.16|A3Vvar      | 2.14|
|HIP 4427  |00 56 42.5011|+60 43 00.299|   25.65|   -3.82|    5.32|B0IV:evar   | 2.15|
|HIP 61932 |12 41 31.2050|-48 57 35.588| -187.28|   -1.20|   25.01|A1IV        | 2.20|
|HIP 45556 |09 17 05.4284|-59 16 30.940|  -19.03|   13.11|    4.71|A8Ib        | 2.21|
|HIP 39429 |08 03 35.0701|-40 00 11.478|  -30.82|   16.77|    2.33|O5IAf       | 2.21|
|HIP 76267 |15 34 41.1895|+26 42 53.677|  120.38|  -89.44|   43.65|A0V         | 2.22|
|HIP 44816 |09 07 59.7771|-43 25 57.447|  -23.21|   14.28|    5.69|K4Ib-II     | 2.23|
|HIP 100453|20 22 13.7000|+40 15 24.053|    2.43|   -0.93|    2.14|F8Ib        | 2.23|
|HIP 65378 |13 23 55.4198|+54 55 31.495|  121.23|  -22.01|   41.73|A2V         | 2.23|
|HIP 87833 |17 56 36.3779|+51 29 20.224|   -8.52|  -23.05|   22.10|K5III       | 2.24|
|HIP 3179  |00 40 30.3872|+56 32 14.673|   50.36|  -32.17|   14.27|K0II-IIIvar | 2.24|
|HIP 25930 |05 32 00.3997|-00 17 56.736|    1.67|    0.56|    3.56|O9.5II      | 2.25|
|HIP 746   |00 09 10.0897|+59 09 00.785|  523.39| -180.42|   59.89|F2III-IV    | 2.28|
|HIP 66657 |13 39 53.2727|-53 27 58.906|  -14.60|  -12.79|    8.68|B1III       | 2.29|
|HIP 82396 |16 50 10.2450|-34 17 33.395| -611.83| -255.87|   49.85|K2IIIb      | 2.29|
|HIP 78401 |16 00 20.0117|-22 37 17.833|   -8.67|  -36.90|    8.12|B0.2IV      | 2.29|
|HIP 71860 |14 41 55.7738|-47 23 17.309|  -21.15|  -24.22|    5.95|B1.5III     | 2.30|
|HIP 71352 |14 35 30.4516|-42 09 27.884|  -35.31|  -32.44|   10.57|B1Vn + A    | 2.33|
|HIP 53910 |11 01 50.3908|+56 22 56.441|   81.66|   33.74|   41.07|A1V         | 2.34|
|HIP 72105 |14 44 59.2509|+27 04 27.026|  -50.65|   20.00|   15.55|A0          | 2.35|
|HIP 107315|21 44 11.1403|+09 52 30.028|   30.02|    1.38|    4.85|K2Ibvar     | 2.38|
|HIP 86670 |17 42 29.2798|-39 01 47.715|   -6.49|  -25.55|    7.03|B1.5III     | 2.39|
|HIP 2081  |00 26 16.8674|-42 18 18.439|  232.76| -353.64|   42.14|K0III...    | 2.40|
|HIP 58001 |11 53 49.7413|+53 41 41.039|  107.76|   11.16|   38.99|A0V SB      | 2.41|
|HIP 84012 |17 10 22.6624|-15 43 30.531|   41.16|   97.65|   38.77|A2.5Va      | 2.43|
|HIP 113881|23 03 46.3334|+28 04 56.837|  187.76|  137.61|   16.37|M2II-IIIvar | 2.44|
|HIP 35904 |07 24 05.7050|-29 18 11.231|   -3.76|    6.66|    1.02|B5Ia        | 2.45|
|HIP 105199|21 18 34.5816|+62 35 07.639|  149.91|   48.27|   66.84|A7IV-V      | 2.45|
|HIP 45941 |09 22 06.8292|-55 00 38.503|  -10.72|   11.24|    6.05|B2IV        | 2.47|
|HIP 102488|20 46 12.4322|+33 58 10.032|  356.16|  330.28|   45.26|K0III       | 2.48|
|HIP 113963|23 04 45.6168|+15 12 19.324|   61.10|  -42.56|   23.36|B9.5III     | 2.49|
|HIP 81377 |16 37 09.5300|-10 34 01.746|   13.07|   25.44|    7.12|O9.5V       | 2.54|
|HIP 14135 |03 02 16.7791|+04 05 23.731|  -11.81|  -78.76|   14.82|M2III       | 2.54|
|HIP 68002 |13 55 32.4349|-47 17 17.759|  -57.14|  -44.75|    8.48|B2.5IV      | 2.55|
|HIP 78820 |16 05 26.2349|-19 48 19.414|   -6.75|  -24.89|    6.15|B0.5V       | 2.56|
|HIP 54872 |11 14 06.4121|+20 31 26.522|  143.31| -130.43|   56.52|A4V         | 2.56|
|HIP 59196 |12 08 21.5436|-50 43 20.676|  -47.53|   -6.42|    8.25|B2IVne      | 2.58|
|HIP 25985 |05 32 43.8139|-17 49 20.252|    3.27|    1.54|    2.54|F0Ib        | 2.58|
|HIP 59803 |12 15 48.4678|-17 32 31.141| -159.58|   22.31|   19.78|B8III       | 2.58|
|HIP 93506 |19 02 36.7234|-29 52 48.411|  -14.10|    3.66|   36.61|A3IV        | 2.60|
|HIP 74785 |15 17 00.4718|-09 22 58.321|  -96.39|  -20.76|   20.38|B8V         | 2.61|
|HIP 77070 |15 44 15.9958|+06 25 31.871|  134.66|   44.14|   44.54|K2III       | 2.63|
|HIP 8903  |01 54 38.3491|+20 48 29.878|   96.32| -108.80|   54.74|A5V...      | 2.64|
|HIP 26634 |05 39 38.9399|-34 04 26.578|   -0.10|  -24.05|   12.16|B7IV        | 2.65|
|HIP 61359 |12 34 23.2341|-23 23 47.843|    0.86|  -56.00|   23.34|G5II        | 2.65|
|HIP 28380 |05 59 43.2382|+37 12 45.951|   42.09|  -73.61|   18.83|A0p Si      | 2.65|
|HIP 6686  |01 25 48.6030|+60 14 07.452|  297.24|  -49.49|   32.81|A5Vv SB     | 2.66|
|HIP 73273 |14 58 31.9541|-43 08 01.921|  -34.06|  -38.30|    6.23|B2III       | 2.68|
|HIP 67927 |13 54 41.1162|+18 23 54.915|  -60.95| -358.10|   88.17|G0IV        | 2.68|
|HIP 61585 |12 37 11.0837|-69 08 07.921|  -39.87|  -12.44|   10.67|B2IV-V      | 2.69|
|HIP 52727 |10 46 46.1221|-49 25 12.451|   62.55|  -53.57|   28.18|G5III SB    | 2.69|
|HIP 23015 |04 56 59.6162|+33 09 58.087|    3.63|  -18.54|    6.37|K3IIvar     | 2.69|
|HIP 85696 |17 30 45.8388|-37 17 44.665|   -4.19|  -29.14|    6.29|B2IV        | 2.70|
|HIP 35264 |07 17 08.5642|-37 05 50.953|  -10.57|    7.00|    2.98|K3Ib        | 2.71|
|HIP 89931 |18 20 59.6216|-29 49 40.941|   29.96|  -26.38|   10.67|K3III       | 2.72|
|HIP 97278 |19 46 15.5702|+10 36 47.767|   15.72|   -3.08|    7.08|K3II        | 2.72|
|HIP 79593 |16 14 20.7662|-03 41 38.312|  -45.83| -142.91|   19.16|M1III       | 2.73|
|HIP 80331 |16 23 59.5069|+61 30 50.671|  -16.98|   56.68|   37.18|G8III       | 2.73|
|HIP 52419 |10 42 57.4267|-64 23 40.126|  -18.87|   12.06|    7.43|B0Vp        | 2.74|
|HIP 61941 |12 41 40.0021|-01 26 58.280| -616.66|   60.66|   84.53|F0V+...     | 2.74|
|HIP 65109 |13 20 36.0656|-36 42 43.492| -340.76|  -87.98|   55.64|A2V         | 2.75|
|HIP 72622 |14 50 52.7773|-16 02 29.798| -105.69|  -69.00|   42.25|A3IV        | 2.75|
|HIP 26241 |05 35 25.9811|-05 54 35.639|    2.27|   -0.62|    2.46|O9III       | 2.75|
|HIP 86742 |17 43 28.3769|+04 34 00.901|  -40.67|  158.80|   39.78|K2III       | 2.76|
|HIP 23875 |05 07 51.0340|-05 05 10.546|  -83.39|  -75.44|   36.71|A3IIIvar    | 2.78|
|HIP 84345 |17 14 38.8624|+14 23 24.911|   -6.71|   32.78|    8.53|M5IIvar     | 2.78|
|HIP 80816 |16 30 13.2617|+21 29 22.735|  -98.43|  -14.49|   22.07|G8III       | 2.78|
|HIP 59747 |12 15 08.7570|-58 44 56.046|  -36.68|  -10.72|    8.96|B2IV        | 2.79|
|HIP 85670 |17 30 25.9769|+52 18 04.892|  -15.59|   11.57|    9.02|G2II        | 2.79|
|HIP 76297 |15 35 08.4604|-41 10 00.102|  -16.05|  -25.52|    5.75|B2IV        | 2.80|
