|name      |ra           |dec          |pm_ra   |pm_dec  |parallax|spect_type  |vmag |
|HIP 95501 |19 25 29.7527|+03 06 52.485|  253.06|   80.67|   65.05|F0IV        | 3.36|
|HIP 75264 |15 22 40.8875|-44 41 22.463|  -20.25|  -20.13|    6.47|B2IV-V      | 3.37|
|HIP 66249 |13 34 41.7547|-00 35 45.378| -278.89|   48.56|   44.55|A3V         | 3.38|
|HIP 43109 |08 46 46.6462|+06 25 08.065| -231.04|  -40.17|   24.13|G0III-IV    | 3.38|
|HIP 50371 |10 17 05.0053|-61 19 56.351|  -24.25|    6.38|    4.43|K3II        | 3.39|
|HIP 63090 |12 55 36.4833|+03 23 51.355| -471.44|  -52.81|   16.11|M3III       | 3.39|
|HIP 26207 |05 35 08.2777|+09 56 02.987|   -1.03|   -1.86|    3.09|O...        | 3.39|
|HIP 109492|22 10 51.2619|+58 12 04.500|   13.35|    4.49|    4.49|K1Ibv SB    | 3.39|
|HIP 20894 |04 28 39.6749|+15 52 15.408|  108.66|  -26.39|   21.89|A7III       | 3.40|
|HIP 74395 |15 12 17.2032|-52 05 56.669| -113.94|  -71.00|   28.06|G8III       | 3.41|
|HIP 6867  |01 28 21.9417|-43 19 03.825|  -18.21| -207.71|   13.94|K5II-III    | 3.41|
|HIP 67464 |13 49 30.2974|-41 41 15.575|  -26.01|  -20.38|    6.87|B2IV        | 3.41|
|HIP 112029|22 41 27.6748|+10 49 53.008|   77.38|  -10.98|   15.64|B8.5V       | 3.41|
|HIP 18724 |04 00 40.8206|+12 29 25.353|   -8.15|  -11.98|    8.81|B3V + A     | 3.41|
|HIP 102422|20 45 17.2686|+61 50 12.459|   86.08|  817.89|   69.73|K0IV        | 3.41|
|HIP 102395|20 44 57.5557|-66 12 11.658|  -42.40|   10.57|   23.71|A5IV        | 3.42|
|HIP 78384 |16 00 07.3405|-38 23 47.907|  -16.58|  -27.06|    6.61|B2.5IV      | 3.42|
|HIP 86974 |17 46 27.7189|+27 43 20.997| -291.42| -750.00|  119.05|G5IV        | 3.42|
|HIP 8796  |01 53 04.8998|+29 34 45.830|   12.02| -233.69|   50.87|F6IV        | 3.42|
|HIP 45080 |09 10 58.1053|-58 58 00.949|  -17.67|   14.14|    7.79|B2IV        | 3.43|
|HIP 93805 |19 06 14.9499|-04 52 56.404|  -19.68|  -90.37|   26.05|B9Vn        | 3.43|
|HIP 50335 |10 16 41.4043|+23 25 02.382|   19.84|   -7.30|   12.56|F0III       | 3.43|
|HIP 50372 |10 17 05.9270|+42 54 52.087| -170.11|  -42.64|   24.27|A2IV        | 3.45|
|HIP 38827 |07 56 46.7417|-52 58 56.642|  -28.38|   16.76|    8.43|B3IVp       | 3.46|
|HIP 5364  |01 08 35.2637|-10 10 54.941|  215.81| -138.33|   27.73|K2III       | 3.46|
|HIP 74666 |15 15 30.1038|+33 18 54.368|   84.84| -110.57|   27.94|G8III       | 3.46|
|HIP 3821  |00 49 05.1006|+57 48 59.572| 1087.11| -559.65|  167.99|G0V SB      | 3.46|
|HIP 67472 |13 49 37.0078|-42 28 25.266|  -23.85|  -19.22|    6.19|B2IV-Ve     | 3.47|
|HIP 12706 |02 43 18.1246|+03 14 10.218| -146.43| -145.27|   39.78|A3V         | 3.47|
|HIP 49583 |10 07 19.9535|+16 45 45.597|   -1.94|   -0.53|    1.53|A0Ib        | 3.48|
|HIP 81833 |16 42 53.7386|+38 55 20.860|   35.58|  -84.98|   29.11|G8III-IV    | 3.48|
|HIP 112623|22 48 33.1971|-51 19 00.133|  108.47|  -65.93|   25.16|A3V         | 3.49|
|HIP 90422 |18 26 58.4303|-45 58 05.985|  -16.68|  -53.33|   13.08|B3IV        | 3.49|
|HIP 33856 |07 01 43.1517|-27 56 05.430|   -6.01|    4.64|    2.68|K4III       | 3.49|
|HIP 8102  |01 44 05.1275|-15 56 22.401|-1721.82|  854.07|  274.17|G8V         | 3.49|
|HIP 55219 |11 18 28.7553|+33 05 39.260|  -26.61|   27.51|    7.74|K3III SB    | 3.49|
|HIP 73555 |15 01 56.7931|+40 23 26.292|  -40.20|  -29.22|   14.91|G8III       | 3.49|
|HIP 32759 |06 49 50.4655|-32 30 30.555|   -9.18|    4.04|    4.13|B1.5IVne    | 3.50|
|HIP 35550 |07 20 07.3893|+21 58 56.422|  -18.72|   -7.76|   55.45|F0IV...     | 3.50|
|HIP 112724|22 49 40.9122|+66 12 02.559|  -66.10| -124.74|   28.27|K0III       | 3.50|
|HIP 98337 |19 58 45.3876|+19 29 31.534|   64.37|   22.58|   11.90|K5III       | 3.51|
|HIP 112748|22 50 00.1003|+24 36 06.065|  144.11|  -43.44|   27.95|M2III       | 3.51|
|HIP 48774 |09 56 51.7548|-54 34 04.070|  -13.13|    2.83|    1.69|B5Ib        | 3.52|
|HIP 93085 |18 57 43.7797|-21 06 23.848|   34.91|  -12.33|    8.76|G8/K0II/III | 3.52|
|HIP 17378 |03 43 14.9561|-09 45 54.715|  -91.71|  742.23|  110.58|K0IV        | 3.52|
|HIP 109427|22 10 11.8198|+06 11 52.040|  281.96|   31.23|   33.77|A2V         | 3.52|
|HIP 47508 |09 41 09.1179|+09 53 32.636| -143.67|  -37.45|   24.12|A5V+...     | 3.52|
|HIP 92420 |18 50 04.7939|+33 21 45.640|    1.10|   -4.46|    3.70|A8:V comp SB| 3.52|
|HIP 40526 |08 16 30.9482|+09 11 08.387|  -46.80|  -48.65|   11.23|K4III       | 3.53|
|HIP 20889 |04 28 36.9333|+19 10 49.875|  107.23|  -36.77|   21.04|K0III       | 3.53|
|HIP 56343 |11 33 00.2590|-31 51 27.087| -209.09|  -41.60|   25.23|G8III       | 3.54|
|HIP 86263 |17 37 35.2252|-15 23 54.270|  -39.30|  -61.27|   30.93|F0IIIp      | 3.54|
|HIP 77516 |15 49 37.2657|-03 25 48.508|  -98.07|  -27.41|   20.94|A0V         | 3.54|
|HIP 99240 |20 08 41.8601|-66 10 45.556| 1210.29|-1130.34|  163.73|G5IV-Vvar   | 3.55|
|HIP 69996 |14 19 24.2327|-46 03 29.102|  -12.81|   -3.79|    9.27|B2.5IV      | 3.55|
|HIP 20042 |04 17 53.6186|-33 47 53.993|   62.31|   -6.75|   18.27|B9V         | 3.55|
|HIP 27288 |05 46 57.3497|-14 49 19.010|  -14.84|   -1.18|   46.47|A2Vann      | 3.55|
|HIP 89937 |18 21 02.3390|+72 44 01.311|  531.08| -351.59|  124.11|F7Vvar      | 3.55|
|HIP 10602 |02 16 30.5003|-51 30 43.601|   90.75|  -21.90|   21.06|B8IV-V      | 3.56|
|HIP 82545 |16 52 20.1535|-38 01 02.920|  -12.92|  -23.80|    6.31|B2IV        | 3.56|
|HIP 55282 |11 19 20.5226|-14 46 44.557| -124.47|  206.61|   16.75|K0III       | 3.56|
|HIP 1562  |00 19 25.6830|-08 49 25.786|  -14.37|  -37.84|   11.26|K2III       | 3.56|
|HIP 75177 |15 21 48.4365|-36 15 40.202|  -91.85|  -86.03|    9.99|K5III       | 3.57|
|HIP 37740 |07 44 26.8686|+24 23 53.265|  -22.45|  -56.24|   22.73|G8III       | 3.57|
|HIP 71053 |14 31 49.8578|+30 22 16.122| -100.44|  120.22|   21.92|K3III       | 3.57|
|HIP 44471 |09 03 37.5588|+47 09 23.974|  -37.37|  -55.39|    7.71|A1Vn        | 3.57|
|HIP 100064|20 18 03.2185|-12 32 41.492|   61.78|    2.85|   30.01|G6/G8III    | 3.58|
|HIP 35350 |07 18 05.6068|+16 32 25.711|  -46.09|  -37.90|   34.59|A3V...      | 3.58|
|HIP 60260 |12 21 21.8113|-60 24 04.932| -171.06|   91.82|   14.30|K3/K4III    | 3.59|
|HIP 27072 |05 44 27.9750|-22 26 50.952| -292.42| -368.45|  111.49|F7V         | 3.59|
|HIP 24674 |05 17 36.3989|-06 50 39.790|  -15.31|   -9.57|    5.88|B5III       | 3.59|
|HIP 57757 |11 50 41.2861|+01 45 55.357|  740.96| -271.18|   91.74|F8V         | 3.59|
|HIP 7607  |01 37 59.5024|+48 37 42.551|   60.90| -112.42|   18.76|K3III       | 3.59|
|HIP 85727 |17 31 05.9769|-60 41 00.984|  -53.65|  -99.37|   17.42|B8V         | 3.60|
|HIP 42536 |08 40 17.6092|-52 55 19.101|  -24.62|   35.09|    6.59|B3IV        | 3.60|
|HIP 46651 |09 30 42.1130|-40 28 00.795| -147.14|   48.65|   53.89|F2IV        | 3.60|
|HIP 76470 |15 37 01.4586|-28 08 06.256|  -13.26|   -3.48|   16.76|K3III       | 3.60|
|HIP 6537  |01 24 01.4512|-08 10 57.913|  -78.38| -206.88|   28.48|K0III       | 3.60|
|HIP 33018 |06 52 47.3401|+33 57 40.931|   -2.66|  -47.67|   16.59|A3III       | 3.60|
|HIP 63613 |13 02 15.7775|-71 32 55.675|  263.58|  -23.28|   35.91|K2III       | 3.61|
|HIP 86929 |17 45 44.0024|-64 43 25.444|  -11.08|  -56.37|    8.79|K1III       | 3.61|
|HIP 49841 |10 10 35.3971|-12 21 13.821| -200.33| -100.28|   28.44|K0III       | 3.61|
|HIP 15900 |03 24 48.8376|+09 01 44.634|  -74.25|  -80.31|   15.42|G8III       | 3.61|
|HIP 13209 |02 49 58.9894|+27 15 38.846|   65.47| -116.59|   20.45|B8Vn        | 3.61|
|HIP 82729 |16 54 35.1052|-42 21 38.733| -126.55| -227.77|   21.67|K4III       | 3.62|
|HIP 37819 |07 45 15.3039|-37 58 06.955|  -10.77|    5.97|    2.35|K4III       | 3.62|
|HIP 7097  |01 31 28.9939|+15 20 44.992|   25.73|   -3.29|   11.09|G8III       | 3.62|
|HIP 17847 |03 49 09.7312|+24 03 12.687|   17.77|  -44.70|    8.57|B8III       | 3.62|
|HIP 113726|23 01 55.2465|+42 19 33.523|   22.47|    0.24|    4.71|B6pv SB     | 3.62|
|HIP 57363 |11 45 36.5673|-66 43 43.836| -100.42|   33.21|   25.42|A7III       | 3.63|
|HIP 101769|20 37 32.8698|+14 35 42.730|  118.28|  -47.65|   33.49|F5IV        | 3.64|
|HIP 88714 |18 06 37.8788|-50 05 29.237|   -8.43|   -9.26|    3.22|B2Ib        | 3.65|
|HIP 110960|22 28 49.8006|-00 01 12.227|  191.32|   37.47|   31.53|F3III-IV    | 3.65|
|HIP 77233 |15 46 11.2149|+15 25 18.934|   68.54|  -41.31|   21.31|A3V         | 3.65|
|HIP 20205 |04 19 47.5339|+15 37 39.721|  115.29|  -23.86|   21.17|G8III       | 3.65|
|HIP 46733 |09 31 31.5697|+63 03 42.464|  107.55|   26.86|   43.20|F0IV        | 3.65|
|HIP 76600 |15 38 39.3844|-29 46 39.682|  -22.10|  -26.54|    7.33|B2.5V       | 3.66|
|HIP 75695 |15 27 49.8519|+29 06 19.770| -181.39|   86.84|   28.60|F0p         | 3.66|
|HIP 103227|20 54 48.5796|-58 27 14.741|   21.06|  -24.75|    5.41|K0III       | 3.67|
|HIP 68756 |14 04 23.4260|+64 22 32.911|  -56.52|   17.19|   10.56|A0III SB    | 3.67|
|HIP 42828 |08 43 35.5475|-33 11 11.081|  -14.28|   10.60|    3.86|B1.5III     | 3.68|
|HIP 114341|23 09 26.7621|-21 10 20.948|   55.99|   31.25|   13.96|K1III       | 3.68|
|HIP 22549 |04 51 12.3660|+05 36 18.365|   -3.62|    1.03|    2.59|B2III SB    | 3.68|
|HIP 97365 |19 47 23.2652|+18 32 03.333|   -4.58|   11.10|    7.28|M2II + B6   | 3.68|
|HIP 47854 |09 45 14.8276|-62 30 28.524|  -12.88|    8.28|    2.16|G5Iab/Ib    | 3.69|
|HIP 9007  |01 55 56.8325|-51 36 34.512|  681.24|  284.23|   57.19|G5IV        | 3.69|
|HIP 106985|21 40 05.3422|-16 39 44.112|  187.39|  -22.33|   23.48|A7III:mp... | 3.69|
|HIP 23453 |05 02 28.6801|+41 04 33.202|    8.88|  -21.43|    4.14|K4II comp   | 3.69|
|HIP 57399 |11 46 03.1341|+47 46 45.613| -138.38|   28.37|   16.64|K0III       | 3.69|
|HIP 2920  |00 36 58.2670|+53 53 48.954|   17.77|   -9.15|    5.46|B2IV        | 3.69|
|HIP 15474 |03 19 30.9697|-21 45 28.592|   51.35|   32.20|   12.63|M3/M4III    | 3.70|
|HIP 114971|23 17 09.4936|+03 16 56.083|  760.35|   17.96|   24.92|G7III       | 3.70|
|HIP 87933 |17 57 45.8307|+29 14 52.531|   82.33|  -18.73|   24.12|K0III       | 3.70|
|HIP 38414 |07 52 13.0455|-40 34 32.876|  -13.89|    5.30|    9.46|G5III...    | 3.71|
|HIP 28103 |05 56 24.3183|-14 10 04.937|  -42.23|  139.02|   66.47|F1V         | 3.71|
|HIP 22797 |04 54 15.0956|+02 26 26.417|    1.43|    0.23|    2.43|B2III SB    | 3.71|
|HIP 77622 |15 50 48.8912|+04 28 39.287|  127.98|   61.87|   46.39|A2m         | 3.71|
|HIP 98036 |19 55 18.7662|+06 24 28.560|   46.35| -481.32|   72.95|G8IVvar     | 3.71|
|HIP 88771 |18 07 21.0207|+09 33 49.152|  -61.60|   79.71|   39.40|A4IVs       | 3.71|
|HIP 16537 |03 32 56.4216|-09 27 29.901| -976.44|   17.97|  310.75|K2V         | 3.72|
|HIP 17499 |03 44 52.5235|+24 06 48.414|   21.55|  -44.92|    8.80|B6III       | 3.72|
|HIP 104060|21 04 55.8558|+43 55 40.264|    8.60|    0.35|    2.77|K5Ibv SB    | 3.72|
|HIP 28358 |05 59 31.5503|+54 17 05.935|   86.31| -134.05|   23.22|K0III       | 3.72|
|HIP 107089|21 41 28.4731|-77 23 22.064|   64.83| -240.38|   47.22|K0III       | 3.73|
|HIP 112961|22 52 36.8645|-07 34 46.844|   19.51|   32.71|    8.33|M2IIIvar    | 3.73|
|HIP 72220 |14 46 14.9918|+01 53 34.578| -116.04|  -21.75|   25.35|A0V         | 3.73|
|HIP 16083 |03 27 10.1209|+09 43 57.981|   53.61|  -38.12|   14.68|B9Vn        | 3.73|
|HIP 87585 |17 53 31.6295|+56 52 20.828|   93.65|   78.44|   29.26|K2III       | 3.73|
|HIP 8645  |01 51 27.6106|-10 20 05.803|   38.78|  -38.04|   12.59|K2III       | 3.74|
|HIP 80170 |16 21 55.2437|+19 09 10.879|  -47.44|   44.61|   16.69|A9III       | 3.74|
|HIP 104887|21 14 47.3466|+38 02 39.554|  195.74|  410.02|   47.80|F1IV        | 3.74|
|HIP 44511 |09 04 09.3205|-47 05 51.770|  -46.82|   -9.57|   10.55|K2III       | 3.75|
|HIP 87108 |17 47 53.5740|+02 42 26.851|  -23.15|  -75.12|   34.42|A0V         | 3.75|
|HIP 26069 |05 33 37.5164|-62 29 23.481|    1.06|   12.56|    3.14|F6Ia        | 3.76|
|HIP 93683 |19 04 40.9338|-21 44 28.876|   76.26|  -58.08|   23.49|K0III       | 3.76|
|HIP 27654 |05 51 19.1528|-20 52 39.050|  228.96| -647.96|   29.05|G8III/IV    | 3.76|
|HIP 30867 |06 28 49.0741|-07 01 58.982|   -7.00|   -4.97|    4.72|B3Ve        | 3.76|
|HIP 111169|22 31 17.3758|+50 16 56.819|  137.22|   17.15|   31.86|A1V         | 3.76|
|HIP 95853 |19 29 42.3393|+51 43 46.083|   20.92|  128.12|   26.63|A5Vn        | 3.76|
|HIP 41312 |08 25 44.2462|-66 08 11.474|  -35.83| -152.15|   30.21|K2IIIvar    | 3.77|
|HIP 82363 |16 49 47.1114|-59 02 28.739|   39.59|  -25.28|   10.41|K5III       | 3.77|
|HIP 42570 |08 40 37.5753|-46 38 55.518|   -6.30|    4.29|    1.05|F3Ia        | 3.77|
|HIP 105881|21 26 40.0277|-22 24 40.962|   -2.61|   18.88|    8.19|G4Ibp...    | 3.77|
|HIP 26549 |05 38 44.7653|-02 36 00.244|    4.61|   -0.40|    2.84|O9.5V...    | 3.77|
|HIP 101958|20 39 38.2545|+15 54 43.390|   54.14|    7.91|   13.55|B9V         | 3.77|
|HIP 20455 |04 22 56.0273|+17 32 33.303|  107.75|  -28.84|   21.29|G8III       | 3.77|
|HIP 109176|22 07 00.4745|+25 20 42.166|  296.73|   26.93|   85.06|F5V         | 3.77|
|HIP 17529 |03 45 11.6434|+42 34 42.760|  -14.59|    1.75|    5.86|F5IIvar     | 3.77|
|HIP 13268 |02 50 41.7928|+55 53 43.906|   16.64|  -13.76|    2.45|K3Ib comp SB| 3.77|
|HIP 34481 |07 08 44.8245|-70 29 57.100|   23.71|  108.06|   23.02|G8IIIvar    | 3.78|
|HIP 53253 |10 53 29.5662|-58 51 11.753|   79.75|   38.65|   33.71|K0III-IV... | 3.78|
|HIP 102618|20 47 40.5326|-09 29 44.484|   31.89|  -35.32|   14.21|A1V         | 3.78|
|HIP 71795 |14 41 08.9204|+13 43 41.992|   52.36|  -12.71|   18.07|A3IVn       | 3.78|
|HIP 36046 |07 25 43.6761|+27 47 53.828| -121.28|  -84.43|   25.90|G9III+...   | 3.78|
|HIP 48319 |09 50 59.6917|+59 02 20.776| -294.45| -151.75|   28.35|F0IV        | 3.78|
|HIP 55203 |11 18 11.2400|+31 31 50.800|        |        |        |G0V         | 3.79|
|HIP 53229 |10 53 18.6399|+34 12 56.039|   92.47| -286.06|   33.40|K0III-IV    | 3.79|
|HIP 14668 |03 09 29.6291|+44 51 28.400|  173.01| -142.05|   29.05|K0III       | 3.79|
|HIP 14879 |03 12 04.2800|-28 59 20.782|  371.49|  612.26|   70.86|F8V         | 3.80|
|HIP 37229 |07 38 49.8813|-26 48 14.013|  -17.00|   23.08|    7.18|B5IV        | 3.80|
|HIP 76276 |15 34 48.1902|+10 32 19.893|  -72.63|    3.17|   15.54|F0IV        | 3.80|
|HIP 99675 |20 13 37.9027|+46 44 28.767|    4.20|    1.87|    2.41|K2II+...    | 3.80|
|HIP 94779 |19 17 06.1099|+53 22 05.378|   60.22|  122.93|   26.48|K0III       | 3.80|
|HIP 51232 |10 27 52.7451|-58 44 21.871|  -13.25|    2.21|    3.13|F2II        | 3.81|
|HIP 21393 |04 35 33.0717|-30 33 44.318|  -48.92|  -12.75|   15.62|G8III       | 3.81|
|HIP 76952 |15 42 44.6382|+26 17 43.851| -112.52|   50.70|   22.48|A1Vs        | 3.81|
|HIP 116584|23 37 33.7077|+46 27 33.034|  159.22| -421.46|   38.74|G8III-IV    | 3.81|
|HIP 80883 |16 30 54.8412|+01 59 02.762|  -31.37|  -73.00|   19.63|A2V         | 3.82|
|HIP 9487  |02 02 02.8006|+02 45 49.538|   33.29|   -0.42|   23.45|A2          | 3.82|
|HIP 45688 |09 18 50.6673|+36 48 10.431|  -32.61| -123.78|   26.75|A1V         | 3.82|
|HIP 86414 |17 39 27.8924|+46 00 22.760|   -7.17|    3.97|    6.58|B3V SB      | 3.82|
|HIP 56211 |11 31 24.2885|+69 19 52.038|  -41.14|  -18.79|    9.76|M0IIIvar    | 3.82|
|HIP 72370 |14 47 51.7262|-79 02 40.965|   -5.67|  -15.75|    7.93|K5III       | 3.83|
|HIP 68245 |13 58 16.2847|-42 06 02.539|  -23.68|  -19.82|    7.01|B2IV        | 3.83|
|HIP 51069 |10 26 05.5050|-16 50 09.945| -128.51|  -80.06|   13.14|K4III       | 3.83|
|HIP 61199 |12 32 28.1110|-72 07 58.713|  -50.59|   -5.16|   10.07|B5V         | 3.84|
|HIP 17440 |03 44 11.5549|-64 48 25.538|  308.39|   78.72|   32.71|K0IV SB     | 3.84|
|HIP 43783 |08 55 02.8617|-60 38 40.963|  -28.18|   42.24|   10.45|B8III       | 3.84|
|HIP 51986 |10 37 18.2568|-48 13 32.219| -131.48|   -1.58|   37.71|A3m+...     | 3.84|
|HIP 89341 |18 13 45.8087|-21 03 31.789|    1.72|   -1.39|    0.11|B2III:      | 3.84|
|HIP 51624 |10 32 48.6751|+09 18 23.740|   -5.57|   -3.59|    0.57|B1Ib SB     | 3.84|
|HIP 20885 |04 28 34.4323|+15 57 43.982|  104.76|  -15.01|   20.66|G7III       | 3.84|
|HIP 88794 |18 07 32.5508|+28 45 44.893|   -0.17|    7.51|    9.39|B9.5V       | 3.84|
|HIP 17448 |03 44 19.1264|+32 17 17.784|    8.11|  -10.32|    2.21|B1III       | 3.84|
|HIP 97433 |19 48 10.2136|+70 16 04.207|   80.18|   39.02|   22.40|G8III       | 3.84|
|HIP 27321 |05 47 17.0833|-51 04 00.168|    4.65|   81.96|   51.87|A3V         | 3.85|
|HIP 61622 |12 37 42.3278|-48 32 28.637| -186.61|   -6.45|   24.77|A2V         | 3.85|
|HIP 19747 |04 14 00.0813|-42 17 37.943|   41.89| -203.65|   27.85|K1III       | 3.85|
|HIP 50191 |10 14 44.2738|-42 07 19.426| -150.68|   49.84|   31.72|A2V         | 3.85|
|HIP 30277 |06 22 06.8452|-33 26 10.581|  -24.19|  -52.48|   13.75|G7II        | 3.85|
|HIP 91117 |18 35 12.4379|-08 14 35.909|  -18.98| -314.63|   18.72|K2III       | 3.85|
|HIP 78072 |15 56 26.9942|+15 39 53.040|  311.20|-1282.17|   89.92|F6V         | 3.85|
|HIP 90139 |18 23 41.7668|+21 46 13.233|  195.54| -242.92|   25.40|K2III       | 3.85|
|HIP 61281 |12 33 29.0425|+69 47 17.556|  -58.14|   11.42|    6.55|B6IIIp      | 3.85|
|HIP 81065 |16 33 27.4642|-78 53 49.053| -125.68|  -77.59|   20.44|K0IV SB     | 3.86|
|HIP 79664 |16 15 26.2661|-63 41 08.336|    3.51|  -13.49|    5.25|G5II        | 3.86|
|HIP 25859 |05 31 12.7355|-35 28 13.569|   28.36|  -34.11|   11.77|K1II/III    | 3.86|
|HIP 21594 |04 38 10.8709|-14 18 12.913|  -77.86| -178.06|   29.84|K1III       | 3.86|
|HIP 110395|22 21 39.3000|-01 23 14.471|  129.24|    8.90|   20.67|A0V         | 3.86|
|HIP 87808 |17 56 15.1785|+37 15 01.878|    2.74|    7.24|    4.87|K1IIvar     | 3.86|
|HIP 4436  |00 56 45.0977|+38 29 57.318|  152.78|   36.82|   23.93|A5V         | 3.86|
|HIP 43023 |08 46 01.6547|-46 02 29.541|  -12.23|    4.82|    2.10|A1III       | 3.87|
|HIP 68282 |13 58 40.7714|-44 48 12.713|  -27.97|  -21.69|    7.81|B2IV-V      | 3.87|
|HIP 78104 |15 56 53.0867|-29 12 50.444|  -15.20|  -25.10|    7.97|B2IV/V      | 3.87|
|HIP 71957 |14 43 03.5623|-05 39 26.745|  104.23| -319.90|   53.54|F2III       | 3.87|
|HIP 97804 |19 52 28.3638|+01 00 20.442|    6.94|   -7.30|    2.78|F6Ibv SB    | 3.87|
|HIP 17573 |03 45 49.5931|+24 22 04.289|   21.09|  -45.03|    9.06|B8III       | 3.87|
|HIP 74376 |15 11 56.1610|-48 44 15.728|  -96.52|  -47.97|   17.89|B9V         | 3.88|
|HIP 765   |00 09 24.5399|-45 44 49.158|  122.15| -180.13|   23.28|K0III       | 3.88|
|HIP 114421|23 10 21.4279|-45 14 47.931|  132.42|  -26.27|   17.63|K0III SB    | 3.88|
|HIP 8832  |01 53 31.7652|+19 17 38.734|   79.43|  -99.10|   15.96|A1p Si      | 3.88|
|HIP 48455 |09 52 45.9577|+26 00 25.506| -216.29|  -54.92|   24.52|K0III       | 3.88|
|HIP 33152 |06 54 07.9548|-24 11 03.203|   -3.46|    5.02|    1.65|K3Iab       | 3.89|
|HIP 13701 |02 56 25.6038|-08 53 51.395|   77.73| -219.99|   24.49|K1III-IV    | 3.89|
|HIP 60129 |12 19 54.3914|-00 40 00.290|  -59.14|  -23.13|   13.06|A2IV        | 3.89|
|HIP 45336 |09 14 21.7933|+02 18 54.087|  112.57| -306.07|   25.34|B9.5V       | 3.89|
|HIP 98110 |19 56 18.3962|+35 05 00.567|  -34.00|  -27.60|   23.40|K0IIIvar    | 3.89|
|HIP 55425 |11 21 00.4422|-54 29 27.650|  -35.32|   -2.20|   10.15|B5Vn        | 3.90|
|HIP 65936 |13 31 02.6685|-39 24 26.207|  -15.65|  -11.25|    2.60|G8II/III    | 3.90|
|HIP 47431 |09 39 51.3340|-01 08 33.566|   47.81|  -62.92|   11.83|K3IIIvar    | 3.90|
|HIP 60823 |12 28 02.4116|-50 13 50.177|  -32.49|  -12.41|    7.36|B3V         | 3.91|
|HIP 73807 |15 05 07.1057|-47 03 04.298|  -23.39|  -21.11|    6.56|B5          | 3.91|
|HIP 76333 |15 35 31.5394|-14 47 22.393|   65.67|    6.93|   21.42|K0III       | 3.91|
|HIP 41307 |08 25 39.6709|-03 54 22.913|  -66.05|  -24.20|   26.09|A0V         | 3.91|
|HIP 18907 |04 03 09.3768|+05 59 21.513|    5.52|   -1.63|   25.24|A1V         | 3.91|
|HIP 79992 |16 19 44.4479|+46 18 47.775|  -13.15|   39.31|   10.37|B5IV        | 3.91|
|HIP 95168 |19 21 40.3753|-17 50 50.106|  -26.95|   22.24|   26.79|F0III/IV    | 3.92|
|HIP 104987|21 15 49.3967|+05 14 53.066|   59.63|  -94.33|   17.51|G0III+...   | 3.92|
|HIP 83207 |17 00 17.4062|+30 55 34.821|  -47.68|   26.89|   20.04|A0V         | 3.92|
|HIP 37504 |07 41 49.1960|-72 36 22.087|   33.38|   15.29|   24.36|K0III       | 3.93|
|HIP 54463 |11 08 35.3956|-58 58 30.151|   -5.03|    2.09|    0.55|G0Ia0       | 3.93|
|HIP 7083  |01 31 14.9815|-49 04 23.077|  138.22|  154.20|   22.15|K0III-IV    | 3.93|
|HIP 2072  |00 26 12.1162|-43 40 47.674|  106.14|   32.83|   42.51|A7V         | 3.93|
|HIP 78933 |16 06 48.4325|-20 40 08.885|  -10.55|  -23.73|    7.70|B1V         | 3.93|
|HIP 21444 |04 36 19.1406|-03 21 08.813|    1.73|   -4.54|    5.56|B2III SB    | 3.93|
|HIP 88192 |18 00 38.7155|+02 55 53.715|    0.41|   -8.22|    2.30|B5Ib        | 3.93|
|HIP 13531 |02 54 15.4625|+52 45 44.964|   -1.99|   -4.53|   13.15|G4III...    | 3.93|
|HIP 5348  |01 08 23.0601|-55 14 44.996|   21.17|   29.70|   11.66|B6V + B0V   | 3.94|
|HIP 37677 |07 43 48.4721|-28 57 17.407|   -4.57|    3.88|   -0.37|A2Iab       | 3.94|
|HIP 37447 |07 41 14.8767|-09 33 03.899|  -74.80|  -19.64|   22.61|K0III       | 3.94|
|HIP 42911 |08 44 41.1101|+18 09 17.510|  -17.10| -228.46|   23.97|K0III       | 3.94|
|HIP 103413|20 57 10.4116|+41 10 01.898|    8.51|  -23.97|    9.17|A1Vn        | 3.94|
|HIP 31592 |06 36 40.9989|-19 15 20.553|   62.32|  -69.91|   50.41|K1III+...   | 3.95|
|HIP 9598  |02 03 26.1903|+72 25 16.463|  -44.00|   22.51|   20.12|A2V         | 3.95|
|HIP 45101 |09 11 16.7679|-62 19 01.257|  -38.04|   15.93|    6.53|B3IV        | 3.96|
|HIP 95241 |19 22 38.2865|-44 27 32.076|    7.31|  -22.43|    8.62|B9V         | 3.96|
|HIP 28328 |05 59 08.7905|-42 48 54.387|   18.53|  -11.45|    6.14|K0III       | 3.96|
|HIP 95347 |19 23 53.1514|-40 36 56.327|   32.67| -120.81|   19.20|B8V         | 3.96|
|HIP 115438|23 22 58.3015|-20 06 01.242| -120.27|  -96.70|   20.14|K0III       | 3.96|
|HIP 44248 |09 00 38.7522|+41 47 00.398| -487.67| -219.29|   60.86|F5V         | 3.96|
|HIP 19343 |04 08 39.6733|+47 42 45.337|   20.19|  -33.26|    5.89|B3Ve        | 3.96|
|HIP 99848 |20 15 28.3182|+47 42 51.139|    3.88|    1.20|    2.94|K3Ib-II comp| 3.96|
|HIP 98495 |20 00 35.3933|-72 54 36.664|   80.54| -131.34|   30.73|A0V         | 3.97|
|HIP 35228 |07 16 49.8308|-67 57 25.821|   -4.11|    8.50|    4.94|F6II        | 3.97|
